STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
Alabama,Autauga County,54571,54574,54754,55208,54936,54713,54876,54838,55242,55443,55601
Alabama,Baldwin County,182265,182264,183111,186540,190143,194886,199189,202995,207712,212619,218022
Alabama,Barbour County,27457,27457,27330,27350,27174,26944,26758,26294,25819,25158,24881
Alabama,Bibb County,22915,22920,22872,22747,22664,22516,22541,22562,22576,22555,22400
Alabama,Blount County,57322,57321,57373,57554,57570,57611,57521,57522,57517,57827,57840
Alabama,Bullock County,10914,10911,10878,10677,10607,10551,10665,10400,10381,10176,10138
Alabama,Butler County,20947,20943,20942,20878,20687,20374,20343,20176,20029,19898,19680
Alabama,Calhoun County,118572,118594,118477,117797,117257,116541,115995,115536,115018,114664,114277
Alabama,Chambers County,34215,34171,34122,34030,34104,34143,33980,34007,33771,33758,33615
Alabama,Cherokee County,25989,25989,25974,25994,25963,26025,25902,25739,25776,25815,26032
Alabama,Chilton County,43643,43630,43653,43687,43582,43634,43769,43717,43896,44117,44153
Alabama,Choctaw County,13859,13858,13849,13607,13561,13396,13317,13233,13049,12935,12841
Alabama,Clarke County,25833,25833,25765,25582,25154,25122,24865,24703,24349,24097,23920
Alabama,Clay County,13932,13930,13897,13686,13432,13404,13440,13413,13393,13367,13275
Alabama,Cleburne County,14972,14972,15004,14928,14889,14976,15025,14917,14853,14906,14987
Alabama,Coffee County,49948,49952,50205,50435,51136,50677,50655,50952,51145,51777,51909
Alabama,Colbert County,54428,54428,54525,54535,54572,54533,54468,54370,54367,54509,54762
Alabama,Conecuh County,13228,13233,13234,13192,13044,12911,12679,12680,12501,12435,12277
Alabama,Coosa County,11539,11758,11782,11487,11347,11256,11038,10938,10826,10757,10715
Alabama,Covington County,37765,37766,37812,38019,37804,37812,37756,37551,37382,37078,36986
