STNAME,CTYNAME,Year,Population,Date,Name
Alabama,Autauga County,POPESTIMATE2010,54754,2010-06-01,"Autauga County, Alabama"
Alabama,Autauga County,POPESTIMATE2011,55208,2011-06-01,"Autauga County, Alabama"
Alabama,Autauga County,POPESTIMATE2012,54936,2012-06-01,"Autauga County, Alabama"
Alabama,Autauga County,POPESTIMATE2013,54713,2013-06-01,"Autauga County, Alabama"
Alabama,Autauga County,POPESTIMATE2014,54876,2014-06-01,"Autauga County, Alabama"
Alabama,Autauga County,POPESTIMATE2015,54838,2015-06-01,"Autauga County, Alabama"
Alabama,Autauga County,POPESTIMATE2016,55242,2016-06-01,"Autauga County, Alabama"
Alabama,Autauga County,POPESTIMATE2017,55443,2017-06-01,"Autauga County, Alabama"
Alabama,Autauga County,POPESTIMATE2018,55601,2018-06-01,"Autauga County, Alabama"
Alabama,Baldwin County,POPESTIMATE2010,183111,2010-06-01,"Baldwin County, Alabama"
Alabama,Baldwin County,POPESTIMATE2011,186540,2011-06-01,"Baldwin County, Alabama"
Alabama,Baldwin County,POPESTIMATE2012,190143,2012-06-01,"Baldwin County, Alabama"
Alabama,Baldwin County,POPESTIMATE2013,194886,2013-06-01,"Baldwin County, Alabama"
Alabama,Baldwin County,POPESTIMATE2014,199189,2014-06-01,"Baldwin County, Alabama"
Alabama,Baldwin County,POPESTIMATE2015,202995,2015-06-01,"Baldwin County, Alabama"
Alabama,Baldwin County,POPESTIMATE2016,207712,2016-06-01,"Baldwin County, Alabama"
Alabama,Baldwin County,POPESTIMATE2017,212619,2017-06-01,"Baldwin County, Alabama"
Alabama,Baldwin County,POPESTIMATE2018,218022,2018-06-01,"Baldwin County, Alabama"
Alabama,Barbour County,POPESTIMATE2010,27330,2010-06-01,"Barbour County, Alabama"
Alabama,Barbour County,POPESTIMATE2011,27350,2011-06-01,"Barbour County, Alabama"
Alabama,Barbour County,POPESTIMATE2012,27174,2012-06-01,"Barbour County, Alabama"
Alabama,Barbour County,POPESTIMATE2013,26944,2013-06-01,"Barbour County, Alabama"
Alabama,Barbour County,POPESTIMATE2014,26758,2014-06-01,"Barbour County, Alabama"
Alabama,Barbour County,POPESTIMATE2015,26294,2015-06-01,"Barbour County, Alabama"
Alabama,Barbour County,POPESTIMATE2016,25819,2016-06-01,"Barbour County, Alabama"
Alabama,Barbour County,POPESTIMATE2017,25158,2017-06-01,"Barbour County, Alabama"
