STATE,CTYNAME,STNAME,accidents,deaths,POPESTIMATE2018
31,Douglas County,Nebraska,41,44,566880
31,Lancaster County,Nebraska,18,18,317272
31,Seward County,Nebraska,8,13,17318
31,York County,Nebraska,7,12,13772
31,Sarpy County,Nebraska,8,10,184459
31,Madison County,Nebraska,8,8,35392
31,Adams County,Nebraska,6,7,31511
31,Buffalo County,Nebraska,6,7,49615
31,Cass County,Nebraska,6,6,26159
31,Dawson County,Nebraska,3,5,23709
31,Hall County,Nebraska,5,5,61607
31,Keith County,Nebraska,5,5,8021
31,Scotts Bluff County,Nebraska,5,5,35989
31,Colfax County,Nebraska,3,4,10881
31,Gage County,Nebraska,4,4,21493
31,Wayne County,Nebraska,4,4,9403
31,Cuming County,Nebraska,3,3,8940
31,Hamilton County,Nebraska,3,3,9280
31,Howard County,Nebraska,2,3,6468
31,Kimball County,Nebraska,2,3,3618
31,Otoe County,Nebraska,2,3,15985
31,Pierce County,Nebraska,2,3,7142
31,Red Willow County,Nebraska,2,3,10726
31,Saunders County,Nebraska,3,3,21303
31,Sheridan County,Nebraska,2,3,5190
31,Butler County,Nebraska,2,2,8058
31,Cedar County,Nebraska,2,2,8446
31,Chase County,Nebraska,2,2,3977
31,Cherry County,Nebraska,1,2,5761
31,Clay County,Nebraska,2,2,6214
31,Dawes County,Nebraska,1,2,8716
31,Dodge County,Nebraska,2,2,36791
31,Loup County,Nebraska,1,2,618
31,Morrill County,Nebraska,2,2,4686
31,Nemaha County,Nebraska,2,2,6958
31,Brown County,Nebraska,1,1,2973
31,Burt County,Nebraska,1,1,6488
31,Cheyenne County,Nebraska,1,1,9310
31,Custer County,Nebraska,1,1,10840
31,Deuel County,Nebraska,1,1,1825
31,Dundy County,Nebraska,1,1,1770
31,Fillmore County,Nebraska,1,1,5527
31,Franklin County,Nebraska,1,1,3023
31,Garden County,Nebraska,1,1,1897
31,Garfield County,Nebraska,1,1,1987
31,Gosper County,Nebraska,1,1,1996
31,Harlan County,Nebraska,1,1,3401
31,Holt County,Nebraska,1,1,10178
31,Knox County,Nebraska,1,1,8419
31,Lincoln County,Nebraska,1,1,35185
31,Logan County,Nebraska,1,1,749
31,Merrick County,Nebraska,1,1,7733
31,Phelps County,Nebraska,1,1,8996
31,Platte County,Nebraska,1,1,33363
31,Polk County,Nebraska,1,1,5278
31,Richardson County,Nebraska,1,1,7937
31,Rock County,Nebraska,1,1,1360
31,Saline County,Nebraska,1,1,14350
31,Stanton County,Nebraska,1,1,5970
31,Thayer County,Nebraska,1,1,5039
31,Webster County,Nebraska,1,1,3533
