STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,RUR_URB,FUNC_SYS,RD_OWNER,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
31,310001,2,2,0,0,0,2,2,55,3620,1,1,2018,2,0,20,1,2,2,1,2,US-75,NA,866,41.20772778,-95.9491,0,12,1,0,1,1,0,1,3,10,0,10,0,0000000,0,21,0,27,0,49,0,0,0,1,1
31,310002,1,1,0,0,0,1,1,157,4340,7,1,2018,1,22,0,0,2,4,4,6,AVENUE I,NA,0,41.86868889,-103.675,0,33,0,0,1,1,0,4,3,10,0,10,0,0000000,88,88,88,88,88,88,20,0,0,1,1
31,310003,1,1,0,1,1,1,1,55,3620,10,1,2018,4,6,57,0,2,4,4,6,CUMING ST,N 21ST ST,0,41.26812778,-95.9441,0,8,0,0,3,2,0,1,3,10,0,10,0,0000000,6,58,7,3,7,16,0,0,0,1,1
31,310004,2,2,0,0,0,2,2,79,0,10,1,2018,4,16,55,0,1,5,2,4,CR-90TH ROAD,CR-1-R ROAD,0,41.003825,-98.5115,0,12,6,0,2,2,0,1,1,1,0,1,0,0000000,16,56,17,9,17,33,0,0,0,1,0
31,310005,2,2,0,0,0,2,2,119,0,10,1,2018,4,4,30,1,1,2,1,2,US-81,NA,1400,41.80186667,-97.4652,0,12,1,0,1,1,0,1,3,1,0,1,0,0000000,88,88,88,88,88,88,0,0,0,1,0
31,310006,1,1,0,1,1,1,1,109,2830,11,1,2018,5,6,25,0,2,4,4,6,CAPITOL PARKWAY,NA,0,40.80270556,-96.6828,0,8,0,0,1,1,0,1,3,4,0,4,0,0000000,6,32,6,39,6,53,0,0,0,1,0
31,310007,2,2,0,0,0,2,2,17,0,11,1,2018,5,18,20,1,1,3,1,2,US-20,CR-432 AVE,2430,42.54993056,-99.8327,0,12,2,0,3,2,0,1,2,10,0,10,0,0000000,88,88,88,88,88,88,0,0,0,1,0
31,310008,3,3,0,0,0,3,3,159,0,4,1,2018,5,18,24,0,1,4,1,2,US-34,CR-210 ROAD,3050,40.90119444,-97.0059,0,12,2,0,3,2,0,1,2,1,0,1,0,0000000,18,25,18,37,18,58,0,0,0,1,1
31,310009,3,1,2,4,4,1,1,153,0,5,1,2018,6,3,10,1,1,2,1,2,US-75,NA,838,41.18125556,-95.938,0,8,0,0,20,1,0,1,2,1,0,1,0,0000000,99,99,99,99,99,99,14,23,0,2,0
31,310010,2,2,0,0,0,3,3,153,460,13,1,2018,7,2,51,1,2,2,1,2,US-75,NA,839,41.16909167,-95.9393,0,12,2,0,1,1,0,1,2,4,0,4,0,0000000,99,99,99,99,99,99,0,0,0,1,1
