STATE,ST_CASE,VE_FORMS,VEH_NO,PER_NO,STR_VEH,COUNTY,DAY,MONTH,HOUR,MINUTE,RUR_URB,FUNC_SYS,HARM_EV,MAN_COLL,SCH_BUS,MAKE,MAK_MOD,BODY_TYP,MOD_YEAR,TOW_VEH,SPEC_USE,EMER_USE,ROLLOVER,IMPACT1,FIRE_EXP,AGE,SEX,PER_TYP,INJ_SEV,SEAT_POS,REST_USE,REST_MIS,AIR_BAG,EJECTION,EJ_PATH,EXTRICAT,DRINKING,ALC_DET,ALC_STATUS,ATST_TYP,ALC_RES,DRUGS,DRUG_DET,DSTATUS,HOSPITAL,DOA,DEATH_DA,DEATH_MO,DEATH_YR,DEATH_HR,DEATH_MN,DEATH_TM,LAG_HRS,LAG_MINS,P_SF1,P_SF2,P_SF3,WORK_INJ,HISPANIC,RACE,LOCATION
31,310001,2,1,1,0,55,1,1,0,20,2,2,12,1,0,20,20037,4,2011,0,0,0,0,12,0,19,1,1,2,11,3,0,1,0,0,0,1,9,2,1,240,0,8,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,8,0,0,0
31,310001,2,2,1,0,55,1,1,0,20,2,2,12,1,0,20,20029,5,2016,0,0,0,0,6,0,67,2,1,4,11,3,0,20,0,0,0,0,9,2,1,0,0,8,2,5,0,1,1,2018,1,14,114,0,54,0,0,0,0,7,1,0
31,310002,1,1,1,0,157,7,1,22,0,2,4,33,0,0,20,20481,34,1994,0,0,0,0,12,0,37,1,1,4,11,20,0,20,1,9,0,1,9,2,1,272,0,8,2,0,7,7,1,2018,22,19,2219,0,19,0,0,0,0,7,1,0
31,310003,1,0,1,1,55,10,1,6,57,2,4,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1,5,4,0,96,8,97,8,0,0,0,9,2,1,0,0,8,2,5,0,12,1,2018,10,33,1033,51,36,0,0,0,0,1,1,2
31,310003,1,1,1,0,55,10,1,6,57,2,4,8,0,0,7,7029,4,2014,0,0,0,0,12,0,24,1,1,0,11,99,0,20,0,0,0,1,9,2,2,229,0,8,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,8,0,0,0
31,310004,2,1,1,0,79,10,1,16,55,1,5,12,6,0,20,20002,4,2004,0,0,0,1,3,0,28,1,1,4,11,99,0,1,0,0,1,9,9,2,1,0,9,8,8,5,0,10,1,2018,17,44,1744,0,49,0,0,0,0,7,1,0
31,310004,2,2,1,0,79,10,1,16,55,1,5,12,6,0,23,23481,34,2015,0,0,0,0,12,0,38,1,1,1,11,3,0,8,0,0,0,0,9,2,1,0,0,8,8,2,0,88,88,8888,88,88,8888,999,99,0,0,0,8,0,0,0
31,310005,2,1,1,0,119,10,1,4,30,1,2,12,1,0,7,7482,34,2002,0,0,0,0,12,0,36,1,1,4,11,99,0,99,0,0,0,9,9,0,0,996,9,8,0,0,7,10,1,2018,4,30,430,0,0,0,0,0,0,7,1,0
31,310005,2,2,1,0,119,10,1,4,30,1,2,12,1,0,82,82881,66,2007,1,0,0,0,6,0,54,1,1,0,11,3,0,20,0,0,0,0,9,2,1,0,0,8,8,0,0,88,88,8888,88,88,8888,999,99,0,0,0,8,0,0,0
31,310006,1,0,1,1,109,11,1,6,25,2,4,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,1,5,4,0,96,8,97,8,0,0,1,9,2,1,238,0,8,0,5,0,20,1,2018,0,24,24,209,59,0,0,0,0,7,1,11
31,310006,1,1,1,0,109,11,1,6,25,2,4,8,0,0,37,37031,2,2011,0,0,0,0,12,0,42,1,1,0,11,3,0,20,0,0,0,0,9,0,0,996,0,8,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,8,0,0,0
31,310007,2,1,1,0,17,11,1,18,20,1,3,12,2,0,12,12023,4,2011,0,0,0,0,12,0,17,2,1,4,11,3,0,8,0,0,1,0,9,2,1,0,0,8,2,0,7,11,1,2018,18,40,1840,0,20,0,0,0,0,7,1,0
31,310007,2,2,1,0,17,11,1,18,20,1,3,12,2,0,87,87884,66,1999,1,0,0,0,12,0,45,1,1,0,11,99,0,20,0,0,0,0,9,2,1,0,0,8,2,0,0,88,88,8888,88,88,8888,999,99,0,0,0,8,0,0,0
31,310008,3,1,1,0,159,4,1,18,24,1,4,12,2,0,20,20016,2,2002,0,0,0,0,12,0,27,1,1,4,11,20,0,1,0,0,0,1,9,2,1,152,0,8,8,0,7,4,1,2018,18,24,1824,0,0,0,0,0,0,7,1,0
31,310008,3,2,1,0,159,4,1,18,24,1,4,12,2,0,7,7442,20,2010,0,0,0,0,12,0,46,2,1,3,11,3,0,1,0,0,0,0,9,2,1,0,0,8,8,5,0,88,88,8888,88,88,8888,999,99,0,0,0,8,0,0,0
31,310008,3,3,1,0,159,4,1,18,24,1,4,12,2,0,19,19020,6,2011,0,0,0,0,12,0,57,2,1,0,11,3,0,8,0,0,0,0,9,2,1,0,0,8,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,8,0,0,0
31,310009,1,0,1,3,153,5,1,3,10,1,2,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,1,5,4,0,96,8,97,8,0,0,9,9,2,1,0,9,8,2,0,7,5,1,2018,99,99,9999,999,99,0,0,0,0,7,2,11
31,310009,1,0,2,3,153,5,1,3,10,1,2,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1,5,4,0,96,8,97,8,0,0,9,9,2,1,228,9,8,2,0,7,5,1,2018,99,99,9999,999,99,0,0,0,0,7,1,11
31,310009,1,0,3,3,153,5,1,3,10,1,2,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,1,5,3,0,96,8,97,8,0,0,9,9,0,0,996,9,8,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,8,0,0,11
31,310009,1,0,4,3,153,5,1,3,10,1,2,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,2,5,3,0,96,8,97,8,0,0,9,9,0,0,996,9,8,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,8,0,0,11
31,310009,1,3,1,0,153,5,1,3,10,1,2,8,0,0,23,23881,61,2006,0,0,0,0,12,0,57,1,1,0,11,99,0,20,0,0,0,9,9,2,1,0,9,8,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,8,0,0,0
31,310010,2,1,1,0,153,13,1,2,51,2,2,12,2,0,18,18401,14,2006,0,0,0,0,12,0,32,2,1,2,11,3,0,1,0,0,0,0,9,0,0,996,0,8,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,8,0,0,0
31,310010,2,1,2,0,153,13,1,2,51,2,2,12,2,0,18,18401,14,2006,0,0,0,0,12,0,2,1,2,2,23,4,0,20,0,0,0,8,9,0,0,996,8,8,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,8,0,0,0
31,310010,2,2,1,0,153,13,1,2,51,2,2,12,2,0,20,20022,4,2006,0,0,0,0,12,0,32,1,1,4,11,20,0,1,0,0,1,0,9,2,1,212,1,8,2,0,7,13,1,2018,99,99,9999,999,99,0,0,0,0,1,1,0
31,310011,2,1,1,0,105,22,1,15,45,1,3,12,6,0,20,20403,14,2004,0,0,0,0,9,0,30,2,1,4,11,3,0,1,0,0,1,0,9,2,1,0,0,8,0,0,7,22,1,2018,16,4,1604,0,19,0,0,0,0,7,1,0
